"jonathan howard"," jonathan howard (std error)"," jon howard"," jon howard (std error)",
1,0.00%,1.4,3.00%,
,,,,
,,,,
"Week"," jonathan howard"," jonathan howard (std error)"," jon howard"," jon howard (std error)"
01/04/04,0," >10%",0," >10%"
01/11/04,0," >10%",0," >10%"
01/18/04,18.9," >10%",0," >10%"
01/25/04,0," >10%",0," >10%"
02/01/04,0," >10%",0," >10%"
02/08/04,0," >10%",0," >10%"
02/15/04,0," >10%",0," >10%"
02/22/04,0," >10%",0," >10%"
02/29/04,0," >10%",0," >10%"
03/07/04,0," >10%",0," >10%"
03/14/04,0," >10%",0," >10%"
03/21/04,0," >10%",0," >10%"
03/28/04,0," >10%",0," >10%"
04/04/04,0," >10%",0," >10%"
04/11/04,0," >10%",0," >10%"
04/18/04,0," >10%",0," >10%"
04/25/04,0," >10%",0," >10%"
05/02/04,0," >10%",0," >10%"
05/09/04,0," >10%",0," >10%"
05/16/04,0," >10%",0," >10%"
05/23/04,0," >10%",0," >10%"
05/30/04,0," >10%",0," >10%"
06/06/04,0," >10%",0," >10%"
06/13/04,0," >10%",0," >10%"
06/20/04,0," >10%",0," >10%"
06/27/04,0," >10%",0," >10%"
07/04/04,0," >10%",0," >10%"
07/11/04,0," >10%",0," >10%"
07/18/04,0," >10%",0," >10%"
07/25/04,0," >10%",0," >10%"
08/01/04,0," >10%",0," >10%"
08/08/04,0," >10%",0," >10%"
08/15/04,0," >10%",0," >10%"
08/22/04,0," >10%",0," >10%"
08/29/04,0," >10%",0," >10%"
09/05/04,0," >10%",0," >10%"
09/12/04,0," >10%",0," >10%"
09/19/04,0," >10%",0," >10%"
09/26/04,0," >10%",0," >10%"
10/03/04,0," >10%",0," >10%"
10/10/04,0," >10%",0," >10%"
10/17/04,0," >10%",0," >10%"
10/24/04,0," >10%",0," >10%"
10/31/04,0," >10%",0," >10%"
11/07/04,0," >10%",0," >10%"
11/14/04,0," >10%",0," >10%"
11/21/04,0," >10%",0," >10%"
11/28/04,0," >10%",0," >10%"
12/05/04,0," >10%",0," >10%"
12/12/04,0," >10%",0," >10%"
12/19/04,0," >10%",0," >10%"
12/26/04,0," >10%",0," >10%"
01/02/05,0," >10%",0," >10%"
01/09/05,0," >10%",0," >10%"
01/16/05,0," >10%",0," >10%"
01/23/05,0," >10%",0," >10%"
01/30/05,0," >10%",0," >10%"
02/06/05,0," >10%",0," >10%"
02/13/05,0," >10%",0," >10%"
02/20/05,0," >10%",0," >10%"
02/27/05,0," >10%",0," >10%"
03/06/05,0," >10%",0," >10%"
03/13/05,0," >10%",0," >10%"
03/20/05,0," >10%",0," >10%"
03/27/05,0," >10%",0," >10%"
04/03/05,0," >10%",0," >10%"
04/10/05,0," >10%",0," >10%"
04/17/05,0," >10%",0," >10%"
04/24/05,0," >10%",0," >10%"
05/01/05,0," >10%",0," >10%"
05/08/05,0," >10%",0," >10%"
05/15/05,0," >10%",0," >10%"
05/22/05,0," >10%",0," >10%"
05/29/05,0," >10%",0," >10%"
06/05/05,0," >10%",0," >10%"
06/12/05,0," >10%",0," >10%"
06/19/05,0," >10%",0," >10%"
06/26/05,0," >10%",0," >10%"
07/03/05,0," >10%",0," >10%"
07/10/05,0," >10%",0," >10%"
07/17/05,0," >10%",0," >10%"
07/24/05,0," >10%",0," >10%"
07/31/05,0," >10%",0," >10%"
08/07/05,0," >10%",0," >10%"
08/14/05,0," >10%",0," >10%"
08/21/05,0," >10%",0," >10%"
08/28/05,0," >10%",0," >10%"
09/04/05,0," >10%",0," >10%"
09/11/05,0," >10%",0," >10%"
09/18/05,0," >10%",0," >10%"
09/25/05,0," >10%",0," >10%"
10/02/05,0," >10%",0," >10%"
10/09/05,0," >10%",0," >10%"
10/16/05,0," >10%",0," >10%"
10/23/05,0," >10%",0," >10%"
10/30/05,0," >10%",0," >10%"
11/06/05,0," >10%",0," >10%"
11/13/05,0," >10%",0," >10%"
11/20/05,0," >10%",0," >10%"
11/27/05,0," >10%",0," >10%"
12/04/05,0," >10%",0," >10%"
12/11/05,0," >10%",13.3," >10%"
12/18/05,0," >10%",0," >10%"
12/25/05,0," >10%",0," >10%"
