Blacklight 27
Processors,Nodes,Total Time,Computational Time
1,1645316187,1249309.172,1249373.081
2,345924667,137445.615,137676.492
4,1435183146,286407.151,286645.494
8,1324928011,133023.098,133385.072
16,260800865,13205.834,13516.684
24,893437590,30277.605,30541.013
32,666750147,17009.193,17292.952

Blacklight 33
Processors,Nodes,Total Time,Computational Time
1,2191194181,1672375.941,1672402.993
2,1806034903,709768.452,709772.945
4,576878872,113281.465,113286.114
8,109227651,10976.880,10983.341
16,2015410118,113660.598,113708.479
24,2375638902,79211.327,79228.870
32,684111027,16996.966,17013.453

Blacklight 35
Processors,Nodes,Total Time,Computational Time
1,1893184816,1681757.621,1681908.067
2,336802797,157055.567,157059.784
4,852000588,194897.944,194906.674
8,832166757,94772.448,94822.070
16,849457702,48386.319,48400.751
24,1590179694,60797.583,60870.534
32,945863264,27151.964,27174.597

Blacklight 39
Processors,Nodes,Total Time,Computational Time
1,1704055826,1915863.033,1916116.462
2,2689319423,1532743.329,1532947.970
4,2938697169,834944.908,835124.875
8,6011145930,844158.071,844346.605
16,5943704360,417557.577,417791.781
24,9782629737,460112.324,460391.049
32,12407068224,437380.143,437498.967

Blacklight 75
Processors,Nodes,Total Time,Computational Time
1,3933957486,3858675.509,3858848.715
2,4233496898,2061209.263,2061212.330
4,4576134199,1109815.761,1109820.008
8,4857990478,589575.319,589589.544
16,2608249867,160298.704,160314.553
24,2402195413,98241.322,98355.107
32,2168984123,67162.267,67182.593

Pople 27
Processors,Nodes,Total Time,Computational Time
1,1645316187,1303463.131,1303464.853
2,345363227,149538.242,149569.266
4,866699479,186937.908,187027.967
8,589966358,63368.243,63402.032
16,1900837416,110196.229,110233.972
24,126376275,4662.952,4902.399
32,580163581,15899.138,15960.239

Pople 33
Processors,Nodes,Total Time,Computational Time
1,2191194181,1931721.849,1931723.286
2,1798628728,848732.263,848780.954
4,570483472,134063.153,134126.595
8,1130097077,134109.774,134202.002
16,1988615983,133985.968,134024.748
24,350504277,13884.544,14011.954
32,440349296,13215.172,13261.275

Pople 35
Processors,Nodes,Total Time,Computational Time
1,1893184816,1632680.932,1632682.993
2,336844335,160701.119,160731.593
4,853507603,197777.212,197833.806
8,1372141362,159432.079,159465.048
16,884748683,51965.641,52002.250
24,1320158734,50931.290,51285.520
32,1896019072,56081.719,56129.065

Pople 39
Processors,Nodes,Total Time,Computational Time
1,1704055826,2266860.751,2266862.754
2,2688631345,1887600.437,1887630.804
4,2987889723,1037802.938,1037834.508
8,4312628380,733449.901,733483.461
16,3796668372,326042.198,326079.279
24,9971197791,560267.667,560308.749
32,6639356110,287222.499,287267.411

Pople 75
Processors,Nodes,Total Time,Computational Time
1,3933957486,4825454.280,4825455.593
2,4249743954,2677139.589,2677169.205
4,5050165419,1614387.599,1614419.947
8,4352050758,685410.020,685443.252
16,4294607257,344707.123,344745.948
24,3844740268,204517.537,204557.994
32,3389025764,143052.835,143097.561
